symbol,valuation_date,entry_price,fair_value_median,upside_to_median,return_90d,return_180d,return_365d,price_90d,price_180d,price_365d,threshold,max_drawdown_90d,max_drawdown_180d,max_drawdown_365d,rate_sensitivity_score,debt_burden_category
EMBELL,2023-09-07,16.35,21.2,0.2966360856269112,0.49235474006116187,0.43730886850152895,1.1039755351681955,24.4,23.5,34.4,0.2,-0.036697247706422104,-0.036697247706422104,-0.036697247706422104,4.5,moderate_debt
EMBELL,2023-10-19,15.8,21.31,0.34873417721518973,0.6075949367088606,0.48101265822784794,1.0316455696202531,25.4,23.4,32.1,0.2,0.0,0.0,0.0,4.5,moderate_debt
ALM,2023-11-16,290.0,431.73,0.48872413793103453,-0.15172413793103448,-0.3103448275862069,-0.3689655172413793,246.0,200.0,183.0,0.2,-0.15172413793103448,-0.32068965517241377,-0.3724137931034483,1.17,moderate_debt
ALM,2024-03-26,236.0,289.61,0.2271610169491526,-0.1440677966101695,-0.15254237288135594,-0.586864406779661,202.0,200.0,97.5,0.2,-0.2288135593220339,-0.2288135593220339,-0.586864406779661,1.73,high_debt
DOM,2024-10-02,59.0,71.3,0.2084745762711864,-0.11864406779661017,-0.27762711864406786,-0.1647457627118644,52.0,42.62,49.28,0.2,-0.12881355932203392,-0.27762711864406786,-0.4583050847457627,4.77,moderate_debt
DOM,2024-12-04,55.75,70.89,0.2715695067264574,-0.1458295964125561,-0.3434977578475336,-0.22080717488789242,47.62,36.6,43.44,0.2,-0.1458295964125561,-0.42672645739910314,-0.42672645739910314,4.77,moderate_debt
AMBEA,2023-03-02,35.1,49.59,0.41282051282051285,-0.009116809116809125,0.039886039886039844,0.7621082621082621,34.78,36.5,61.85,0.2,-0.07236467236467234,-0.07236467236467234,-0.07236467236467234,9.74,moderate_debt
AMBEA,2023-05-09,39.56,49.62,0.2542972699696662,-0.0844287158746209,0.12588473205257827,0.717644084934277,36.22,44.54,67.95,0.2,-0.15773508594539942,-0.15773508594539942,-0.15773508594539942,9.74,moderate_debt
AMBEA,2023-07-14,33.4,49.73,0.48892215568862274,0.1598802395209582,0.6347305389221558,1.276946107784431,38.74,54.6,76.05,0.2,-0.0011976047904191363,-0.0011976047904191363,-0.0011976047904191363,9.74,moderate_debt
AMBEA,2023-09-15,35.08,49.76,0.4184720638540479,0.4076396807297607,0.7032497149372863,1.5470353477765109,49.38,59.75,89.35,0.2,-0.027936145952109376,-0.027936145952109376,-0.027936145952109376,9.74,moderate_debt
AMBEA,2024-01-24,50.95,64.43,0.2645731108930324,0.2639842983316978,0.5878312070657508,0.8635917566241412,64.4,80.9,94.95,0.2,-0.017664376840039363,-0.017664376840039363,-0.017664376840039363,9.02,moderate_debt
CLEM,2024-02-06,7.98,10.67,0.33709273182957383,0.11027568922305751,0.0025062656641603475,-0.11654135338345871,8.86,8.0,7.05,0.2,-0.032581453634085294,-0.032581453634085294,-0.17293233082706777,9.83,low_debt
CLEM,2024-03-19,8.0,10.52,0.31499999999999995,0.10499999999999998,0.06000000000000005,0.050000000000000044,8.84,8.48,8.4,0.2,-0.03500000000000003,-0.03500000000000003,-0.17500000000000004,9.83,low_debt
CLEM,2024-10-30,7.52,10.1,0.34308510638297873,-0.049202127659574366,0.23005319148936176,0.21675531914893628,7.15,9.25,9.15,0.2,-0.12234042553191489,-0.12234042553191489,-0.12234042553191489,9.67,low_debt
DEDI,2024-10-31,58.6,83.12,0.4184300341296929,0.09726962457337876,-0.2901023890784983,-0.2209897610921502,64.3,41.6,45.65,0.2,-0.05631399317406151,-0.2901023890784983,-0.30460750853242324,7.08,low_debt
BILI A,2023-01-18,121.3,175.74,0.44880461665292676,0.0527617477328937,-0.09645507007419624,0.01236603462489695,127.7,109.6,122.8,0.2,-0.04534212695795548,-0.14591920857378404,-0.19579554822753503,9.46,low_debt
BILI A,2023-03-01,137.7,178.05,0.2930283224400873,-0.23166303558460416,-0.2381989832970224,-0.03485838779956415,105.8,104.9,132.9,0.2,-0.24473493100944074,-0.2585330428467683,-0.2915758896151053,9.46,low_debt
BILI A,2023-04-14,132.1,175.99,0.33224829674489037,-0.1627554882664648,-0.1998485995457986,-0.013626040878122506,110.6,105.7,130.3,0.2,-0.21574564723694173,-0.22710068130204392,-0.2615442846328539,9.46,low_debt
