symbol,valuation_date,market_price,fair_value_median,fair_value_mean,fair_value_std,implied_return,valuation_signal,rate_sensitivity_score,wacc,actual_revenue,actual_margin
AAK,2024-12-08,300.6,97.29884563835955,101.6604033579621,28.007143808895165,-0.6763178787812391,OVERVALUED,6.39974469692734,0.1,46028000000.0,0.07550568134713229
AAK,2025-03-08,290.2,149.66514222607205,150.76374154972225,15.554968162539847,-0.4842689792347621,OVERVALUED,5.173395198859364,0.1,45052000000.0,0.09327394731282428
AAK,2025-06-06,267.6,155.8419843329777,156.81076107056455,16.857636991595587,-0.41763085077362605,OVERVALUED,4.9833335031068,0.1,45677000000.0,0.09685731646565725
AAK,2025-09-04,264.0,159.68267444044804,160.63357931266722,16.44903638202485,-0.3951413846952726,OVERVALUED,4.85696367574327,0.1,45944000000.0,0.09941918135175246
AAK,2025-12-03,266.0,159.77478584007582,160.62518194793736,16.371296667438664,-0.39934291037565484,OVERVALUED,4.85696367574327,0.1,45944000000.0,0.09941918135175246
ABB,2024-12-08,647.0,17.75706559763809,17.84186278955399,1.7854618283730317,-0.9725547672370354,OVERVALUED,3.830043088428592,0.1,32235000000.0,0.12554016918452054
ABB,2025-03-08,565.8,21.905455684304066,21.990957344349116,1.9552241753498285,-0.9612841009467938,OVERVALUED,3.452734524406289,0.1,32850000000.0,0.13908842383948358
ABB,2025-06-06,550.6,22.668929266851165,22.80566580994836,2.1293430768702692,-0.9588286791375751,OVERVALUED,3.316240963531529,0.1,32915000000.0,0.14418125087084444
ABB,2025-09-04,648.2,23.65248497102268,23.774048398892297,2.2004180255869623,-0.9635105137750344,OVERVALUED,3.1921358667547084,0.1,33576000000.0,0.14918405262391918
ABB,2025-12-03,667.8,23.619925162044563,23.76373877973184,2.2458074508677477,-0.9646302408474924,OVERVALUED,3.1921358667547084,0.1,33576000000.0,0.14918405262391918
VOLV-B,2024-12-08,286.8,194.47642142824128,198.05093073057765,31.700588077190456,-0.32190926977600676,OVERVALUED,3.7122646565598396,0.1,552252000000.0,0.1275086672638452
VOLV-B,2025-03-08,333.5,285.29169033557446,289.0665954613908,42.8668612624062,-0.14455265266694317,OVERVALUED,3.506389362175149,0.1,526816000000.0,0.13491347804629455
VOLV-B,2025-06-06,263.1,347.03119640016,348.7995699624381,29.80909552626252,0.31900872824082094,UNDERVALUED,3.3689961799936357,0.1,526816000000.0,0.14040393709564197
VOLV-B,2025-09-04,277.1,321.6845380090972,323.3563634413334,33.551412619867506,0.16089692533055633,UNDERVALUED,3.646253951137926,0.1,500079000000.0,0.12987570085741323
VOLV-B,2025-12-03,279.6,286.6376547689516,288.2330160350108,30.573135760562234,0.025170439087809804,FAIR_VALUE,3.8950974950418376,0.1,493793000000.0,0.12173277128788373
ERIC-B,2024-12-08,91.36,48.42054091777955,49.39823539842169,13.362223107771218,-0.4700028358386652,OVERVALUED,6.105034520776156,0.1,263351000000.0,0.08098187851613328
ERIC-B,2025-03-08,86.82,38.47202088466314,38.69814266809977,10.165619379234197,-0.5568760552330898,OVERVALUED,10.0,0.1,247880000000.0,0.05203990180364028
ERIC-B,2025-06-06,82.86,26.668768189627862,26.847321515001312,5.974079438480813,-0.6781466547232939,OVERVALUED,10.0,0.1,247880000000.0,0.03736575373638879
ERIC-B,2025-09-04,75.52,33.6253933070372,34.281603002140855,12.318341895014898,-0.5547484996419862,OVERVALUED,10.0,0.1,245864000000.0,0.04665842122807712
ERIC-B,2025-12-03,90.46,46.48908481833605,47.53889186276455,17.960364647570003,-0.48608130866309907,OVERVALUED,7.5520505028482985,0.1,240309000000.0,0.06836169270672511
ABIG,2024-12-08,0.009,0.00010204052860327928,0.000556102094883548,0.0015405920869469465,-0.9886621634885245,OVERVALUED,0.0,0.1,2532000.0,-17.452165873242375
ABIG,2025-03-08,0.005,0.0,0.0004123212153413781,0.0014465358043592004,-1.0,OVERVALUED,0.0,0.1,2548000.0,-17.220305723613098
ABIG,2025-06-06,0.003,0.0,0.0004209844168848464,0.0014560374494816035,-1.0,OVERVALUED,0.0,0.1,2548000.0,-17.220305723613098
ABIG,2025-09-04,0.004,0.0,0.0003659917897565471,0.0012857209387594542,-1.0,OVERVALUED,0.0,0.1,2548000.0,-17.220305723613098
ABIG,2025-12-03,0.003,0.0,0.00040083427770977524,0.0013741731872987334,-1.0,OVERVALUED,0.0,0.1,2548000.0,-17.220305723613098
AAC,2024-12-08,50.1,0.0,0.0,0.0,-1.0,OVERVALUED,0.0,0.1,276605000.0,-0.20458576053472752
AAC,2025-03-08,70.3,0.0,0.2754533147016754,0.6805143071458721,-1.0,OVERVALUED,0.0,0.1,352857000.0,-0.1513048902078269
AAC,2025-06-06,113.6,0.0,0.0,0.0,-1.0,OVERVALUED,0.0,0.1,352857000.0,-0.08765774960460333
AAC,2025-09-04,135.6,0.6589975175114064,1.367724671602713,2.1538771898913103,-0.9951401363015383,OVERVALUED,0.0,0.1,375517000.0,-0.06754061712555252
AAC,2025-12-03,79.7,1.1209258337147134,1.9998362727395194,2.718550827550774,-0.9859356859006937,OVERVALUED,0.0,0.1,366966000.0,-0.034196334787413095
